"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\kamp-frontend\carRental-Frontend\src\app\components\rental\rental.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\rental\rental.component.html", "HTML", 0, 0, 0, 0, 0, 145, 90, 12, 247
"c:\kamp-frontend\carRental-Frontend\src\app\components\rental\rental.component.ts", "TypeScript", 0, 0, 0, 188, 0, 0, 0, 7, 195
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\brand-update\brand-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\brand-update\brand-update.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 6, 88
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\brand-update\brand-update.component.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 7, 71
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\car-update\car-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\car-update\car-update.component.html", "HTML", 0, 0, 0, 0, 0, 157, 0, 4, 161
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\car-update\car-update.component.ts", "TypeScript", 0, 0, 0, 128, 0, 0, 0, 11, 139
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\color-update\color-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\color-update\color-update.component.html", "HTML", 0, 0, 0, 0, 0, 88, 0, 2, 90
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\color-update\color-update.component.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 13, 93
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\customer-update\customer-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\customer-update\customer-update.component.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 2, 63
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\customer-update\customer-update.component.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 6, 114
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\password-update\password-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\password-update\password-update.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 5, 47
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\password-update\password-update.component.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 8, 55
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\payment-update\payment-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\payment-update\payment-update.component.html", "HTML", 0, 0, 0, 0, 0, 69, 0, 3, 72
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\payment-update\payment-update.component.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 4, 69
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\profile-update\profile-update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\profile-update\profile-update.component.html", "HTML", 0, 0, 0, 0, 0, 69, 0, 2, 71
"c:\kamp-frontend\carRental-Frontend\src\app\components\update\profile-update\profile-update.component.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 6, 77
"c:\kamp-frontend\carRental-Frontend\src\app\components\user-payment\user-payment.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\user-payment\user-payment.component.html", "HTML", 0, 0, 0, 0, 0, 47, 0, 2, 49
"c:\kamp-frontend\carRental-Frontend\src\app\components\user-payment\user-payment.component.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 5, 79
"c:\kamp-frontend\carRental-Frontend\src\app\guards\customer.guard.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\kamp-frontend\carRental-Frontend\src\app\guards\login.guard.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\kamp-frontend\carRental-Frontend\src\app\guards\user.guard.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\kamp-frontend\carRental-Frontend\src\app\interceptors\auth.interceptor.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\kamp-frontend\carRental-Frontend\src\app\models\brand.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\kamp-frontend\carRental-Frontend\src\app\models\car.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\kamp-frontend\carRental-Frontend\src\app\models\carDetail.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\kamp-frontend\carRental-Frontend\src\app\models\carImage.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\kamp-frontend\carRental-Frontend\src\app\models\cartItem.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\kamp-frontend\carRental-Frontend\src\app\models\cartItems.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\kamp-frontend\carRental-Frontend\src\app\models\color.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\kamp-frontend\carRental-Frontend\src\app\models\customer.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\kamp-frontend\carRental-Frontend\src\app\models\listResponseModel.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\kamp-frontend\carRental-Frontend\src\app\models\pay.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\kamp-frontend\carRental-Frontend\src\app\models\profile.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\kamp-frontend\carRental-Frontend\src\app\models\rental.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\kamp-frontend\carRental-Frontend\src\app\models\responseModel.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\kamp-frontend\carRental-Frontend\src\app\models\singleResponseModel.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\kamp-frontend\carRental-Frontend\src\app\models\tokenModel.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\kamp-frontend\carRental-Frontend\src\app\models\user.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\kamp-frontend\carRental-Frontend\src\app\models\userForPasswordUpdate.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\kamp-frontend\carRental-Frontend\src\app\models\userForUpdate.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\kamp-frontend\carRental-Frontend\src\app\models\userToLogin.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\kamp-frontend\carRental-Frontend\src\app\models\userToRegister.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\kamp-frontend\carRental-Frontend\src\app\pipes\filter-brand-search.pipe.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 7, 20
"c:\kamp-frontend\carRental-Frontend\src\app\pipes\filter-car-search.pipe.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 7, 20
"c:\kamp-frontend\carRental-Frontend\src\app\pipes\filter-color-search.pipe.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 6, 20
"c:\kamp-frontend\carRental-Frontend\src\app\pipes\vat-added.pipe.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 5, 15
"c:\kamp-frontend\carRental-Frontend\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 5, 39
"c:\kamp-frontend\carRental-Frontend\src\app\services\brand.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\kamp-frontend\carRental-Frontend\src\app\services\car-image.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 8, 50
"c:\kamp-frontend\carRental-Frontend\src\app\services\car.service.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 1, 6, 61
"c:\kamp-frontend\carRental-Frontend\src\app\services\cart-item.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\kamp-frontend\carRental-Frontend\src\app\services\color.service.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 7, 44
"c:\kamp-frontend\carRental-Frontend\src\app\services\customer.service.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\kamp-frontend\carRental-Frontend\src\app\services\payment.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 3, 37
"c:\kamp-frontend\carRental-Frontend\src\app\services\rental.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 5, 39
"c:\kamp-frontend\carRental-Frontend\src\app\services\user.service.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 4, 65
"c:\kamp-frontend\carRental-Frontend\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\kamp-frontend\carRental-Frontend\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\kamp-frontend\carRental-Frontend\src\styles.css", "CSS", 0, 0, 0, 0, 3, 0, 1, 1, 5
"c:\kamp-frontend\carRental-Frontend\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\kamp-frontend\carRental-Frontend\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 1, 1, 36
"c:\kamp-frontend\carRental-Frontend\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 12622, 34, 14, 2846, 292, 2051, 133, 508, 18500
